Teacher_ID,Name,Subject,Grade_Level,Effectiveness,Clarity,Communication,Engagement,Fairness,Approachability,Availability,Punctuality,Assessment_Quality,Feedback_Quality,Classroom_Management,Inclusivity,Technology_Integration,Professional_Development,Collaboration,Overall_Rating
1,Shivani,Science,Middle School,1,1,2,4,2,3,4,1,5,5,5,1,5,4,4,1
2,Parth,Math,Elementary,3,4,1,1,5,1,3,1,3,4,5,3,4,5,1,1
3,Manju,English,High School,4,3,3,1,3,4,3,4,4,4,1,4,3,2,4,5
4,Zara,English,Elementary,2,5,1,5,2,2,1,5,3,4,2,2,3,4,5,5
5,Manisha,English,Elementary,2,4,5,4,1,3,5,2,1,4,4,1,1,3,3,2
6,Pranav,Math,Middle School,5,5,4,1,5,3,1,3,5,4,2,5,1,4,5,4
7,Yashika,Math,Middle School,2,1,1,4,4,4,2,1,3,2,2,1,5,3,2,2
8,Navya,Science,Middle School,5,5,5,2,5,4,1,3,3,1,1,5,5,3,4,3
9,Chhaya,Math,Middle School,1,5,5,3,4,5,1,3,1,3,1,3,2,4,4,1
10,Krish,English,Middle School,4,2,3,1,5,5,4,4,2,1,1,4,5,3,2,1
11,Harsh,English,High School,5,2,5,5,5,2,3,5,4,4,1,3,2,3,2,1
12,Anjali,Math,Elementary,1,2,5,2,5,2,5,1,2,2,5,2,4,2,3,2
13,Tina,English,Elementary,2,5,5,4,4,1,1,3,5,5,1,1,1,5,4,2
14,Jatin,English,Elementary,2,3,5,2,4,5,5,1,3,2,5,5,4,5,4,1
15,Hina,Math,Elementary,1,5,2,1,5,3,1,2,1,4,5,5,5,2,3,2
16,Ishani,Math,Middle School,2,3,2,4,2,5,2,4,1,2,1,1,4,4,1,5
17,Ved,English,Elementary,1,3,3,3,3,3,1,2,4,2,3,1,4,1,3,5
18,Mehul,English,High School,5,2,1,2,3,4,4,1,2,4,4,2,4,1,5,2
19,Rajvi,English,High School,5,4,5,1,3,5,3,1,4,2,2,3,5,1,4,1
20,Mehak,Science,Elementary,1,1,1,5,4,4,2,5,3,3,5,5,4,2,2,2
21,Kriti,Science,Elementary,5,2,1,4,4,2,1,3,4,3,4,2,2,2,5,2
22,Nikhil,Science,High School,5,2,3,2,2,2,5,3,1,2,3,3,5,3,4,2
23,Tanvi,Math,High School,5,4,5,2,3,1,2,2,1,5,2,2,4,1,3,3
